WKC,gem_name,WKN,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2009,42.7446628018845,,0.0876310272536688,0.585879158180584,4.06375331063186,2064.58392541987,117.866538516303,66.3574170582372,1187.81446248042,315.386173999715,238.671917164816
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2010,43.0433447743993,,0.102707228579403,0.702970297029703,4.13244159758855,2055.38942857143,114.161588597622,53.986338633434,1214.50248674975,297.936861481163,195.672790334044
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2011,43.419758538913,32485.756540386,0.0858663678386329,0.766042780748663,4.21523369878823,2132.76385173592,125.446016514807,60.8916984624142,1174.21917425968,299.287067198178,302.457831531019
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2012,43.9563692381913,35034.8358833718,0.075258169472344,0.793103448275862,4.1748046875,2044.62884830253,121.433042419031,61.2869403840642,1242.48692032101,265.403717397535,196.224358974359
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2013,44.2209119950097,32527.8164383562,0.093410469874418,0.893238434163701,4.13065823285234,2336.1497371053,127.204332904333,65.8856199056196,1324.85401687401,242.861235521236,318.477009572796
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2014,44.6199626780775,35384.5653117315,0.0787535410764873,0.819444444444444,4.1683855612852,2422.86083596667,138.45274399885,74.6878165876098,1450.11073882421,252.610774759236,281.479125251365
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2015,44.9392476937977,34038.4554859391,0.082131124125125,0.889798957557707,4.23440902791526,2443.55038763066,140.316754284055,75.4917963984898,1394.61343886146,259.2788527447,229.77806184669
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2016,45.4017026159886,34237.5602117336,0.0832854681217691,0.906779661016949,4.32446386020651,2503.04884699692,152.80209880152,87.8357088570595,1422.27849459222,279.004253142356,241.778500657606
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2017,45.5912448261003,35544.5562104022,0.091458153580673,0.915032679738562,4.45741261550824,2664.00726675427,158.517755876771,91.9728077091544,1463.53697036063,295.505032851511,228.537583588845
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2018,45.7102592547514,35335.999113082,0.0817972350230415,0.904100069492703,4.50712589073634,2742.92790942294,171.277062089116,103.232692476259,1500.61601753105,300.888866325786,262.156455807159
