GMC,GMN,YEAR,Total_All_Pop,Total_ICPCPat_Pop,Gender_Mannen,Gender_Vrouwen,0to20,21to40,41to60,61to80,Above80,MajorEthnicity_NativeDutch,MajorEthnicity_Western,MajorEthnicity_NonWestern,MajorEthnicity_Other,MinorEthnicity_Marokko,MinorEthnicity_Suriname,MinorEthnicity_Turkije,MinorEthnicity_VoormaligeNederlandseAntillenenAruba,Multiperson_Household,HouseholdType_Institutional,Employee,Unemployment_benefit_user,Welfare_benefit_user,Other_social_benefit_user,Sickness_benefit_user,Pension_benefit_user,Moving_count_above_1,Lifeevents_count_above_2,Low_Income,Debt_Mortgage,Debt_Poor,Wanbet,WMO_user,WLZ_user,ZVWKHUISARTS_user,ZVWKFARMACIE_user,ZVWKZIEKENHUIS_user,ZVWKOSTENPSYCHO_user,HVZ_Medication_user,UniqueMed_Count_5,UniqueMed_Count_10,DIAB_Medication_user,BLOEDDRUKV_Medication_user,CHOL_Medication_user,DIURETICS_Medication_user,DIURETICS_RAAS_BETA_Medication_user,OPIOID_Medication_user,OPIOID_MULYEARS_Medication_user,Opioid_user_no_death,Opioid_user_no_death_primary,Opioid_user_2Years_no_death,Opioid_user_2Years_no_death_primary,ICU_Referral,Ambulance_Referral,Cardiologist_Referral,Lab_Referral,Physiologie_Referral,Hypertensie_patients,COPD_patients,Diabetes_I_patients,Diabetes_II_patients,Hartfalen_patients,ICPC_Hartfalen_patients,OMA_patients,Morbus_Parkinson_patients,Heupfractuur_patients,BMIUP45_patients,Lung_Cancer_patients,Colon_Cancer_patients,Back_pain_patients,Medication_Dependency_patients,Medication_Dependency_3Years_patients,Medication_Dependency_5Years_patients,Alcohol_Dependency_patients,Alcohol_Dependency_3Years_patients,Alcohol_Dependency_5Years_patients,Loneliness_patients,Loneliness_3Years_patients,Loneliness_5Years_patients,ICPC_Obesitas_patients,BMI_NormalWeight,BMI_Obese,BMI_OverWeight,BMI_UnderWeight,Primary_care_patients_in_Secondary_care,HBOPL_Low,HBOPL_Mid,HBOPL_High,HGOPL_Low,HGOPL_Mid,HGOPL_High
GM0484,Alphen aan den Rijn,2009,109189,0.6770187473097107,0.4966159594830981,0.5033474067900613,0.24874300524778137,0.26055738215387997,0.2885363910284003,0.1614173588914634,0.029123812838289572,0.8272353442196558,0.08036523825660094,0.09240857595545339,0.17277381421205432,0.026055738215387998,0.0137834397237817,0.009295808185806262,0.007967835587833939,20995,0.013371310296824772,,,,,,,0.004716592330729286,0.007464121843775472,,,0.0024269844031907977,,,,0.9601241883339897,0.7121138576230206,0.5400727179477787,0.036450558206412735,22700.0,0.2015770819404885,0.04538002912381284,0.030589161911914204,0.17185797104103892,0.08471549331892407,0.015202996638855562,0.018500032054510986,0.04048026815888047,,4145.0,0.040068138731923546,,0.015111412321754022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006319317880006228,0.009158431710153953,0.011127494527837054,0.0004579215855076977,,,,,,,
GM0484,Alphen aan den Rijn,2010,109177,0.6792273097813643,0.49657894977879957,0.503402731344514,0.2474880240343662,0.2536248477243375,0.28948404883812523,0.16720554695586068,0.0300429577658298,0.8252653947259954,0.08138160967969445,0.09338047390933987,0.17476208358903433,0.026424979620249686,0.013739157514861189,0.0092510327266732,0.007831319783470878,20435,0.013326982789415354,,,,,,,0.0046255163633366,0.01085393443674034,,,0.0019692792437967705,0.011540892312483399,,,0.9534059371479341,0.7086657446165401,0.5470016578583401,0.03883601857534096,23400.0,0.2069117121738095,0.047949659726865546,0.03187484543447796,0.17627339091566904,0.0900830761057732,0.015067276074631104,0.02024235873856215,0.04373631808897478,0.015342059224928328,4500.0,0.04240819952920487,0.014426115390604248,0.015800031142090366,0.0008091051297265225,,0.0455795889745941,0.0541426182641998,0.1182641997950267,,0.0002289859585810198,0.00018318876686481585,0.00018318876686481585,,225.0,,9.159438343240793e-05,,,,9.159438343240793e-05,,0.0003205803420134277,0.0003205803420134277,0.0003205803420134277,0.0015113073266347307,0.0015113073266347307,0.0015113073266347307,9.159438343240793e-05,9.159438343240793e-05,9.159438343240793e-05,0.00242725116095881,0.011632486695915807,0.01570843675865796,0.019051631753940847,0.0007785522591754674,0.00667511732024381,,,,,,
GM0484,Alphen aan den Rijn,2011,109223,0.6805526308561384,0.49650714593080214,0.5035111652307664,0.24587312196149164,0.24807046134971572,0.2911016910357708,0.17203336293637786,0.031632531609642654,0.8229951566977651,0.08249178286624612,0.09453137159755728,0.1770231544638034,0.026917407505745127,0.01368759327247924,0.009384470303873725,0.007507576243098981,92965,0.011352920172491142,0.406095785686165,0.008514690129368356,0.010437362094064437,0.009979583054851084,0.020874724188128874,0.16658579236973897,0.004486234584290855,0.011490253884255147,4010.0,0.5119342995522921,0.002151561484302757,0.012268478250917847,,,0.9770378033930582,0.6984334801278119,0.5667304505461304,0.0484330223487727,23960.0,0.20741968266757002,0.04921124671543539,0.033509425670417405,0.1802733856422182,0.09512648434853464,0.015244042005804639,0.020600056764600864,0.047654797982109996,0.017075158162658047,4905.0,0.04536590278604323,0.015884932660703333,0.01734982558618606,0.0007399235860732928,,0.04890222246138944,0.053610827100037665,0.1274013883657106,,0.00022888951960667626,0.00013733371176400576,0.00022888951960667626,,255.0,,0.00013733371176400576,,,,0.000183111615685341,,0.0004577790392133525,0.000732446462741364,0.000732446462741364,0.0015564487333253984,0.0028382300431227855,0.0028382300431227855,0.00013733371176400576,0.000183111615685341,0.000183111615685341,0.0027008963313587798,0.012588923578367195,0.01638848960383802,0.02082894628420754,0.0007782243666626992,0.01116611957165151,,,,,,
GM0484,Alphen aan den Rijn,2012,109116,0.681513251952051,0.4962150372081088,0.5038216210271638,0.24331903662157703,0.2429982770629422,0.2923036035045273,0.17802155504234027,0.03253418380439166,0.8216026980461161,0.08316837127460684,0.09521976612045896,0.1783881373950658,0.027310385278052716,0.013655192639026358,0.009393672788591958,0.007560761024964258,92895,0.011638989699035889,0.4026448916749148,0.010264305876315114,0.010447597052677884,0.010447597052677884,0.020803548517174385,0.1717438322519154,0.004719747791341325,0.012097217639942813,4540.0,0.5088163055830492,0.002336962498625316,0.011822280875398659,,,0.9789123501594633,0.6920616591517285,0.5657282158436893,0.04256937571025331,24410.0,0.20189523076359103,0.04770152864841087,0.034779500714835584,0.1833828219509513,0.09943546317680267,0.01498405366765644,0.020299497782176767,0.048251402177499174,0.0188789911653653,4960.0,0.044173173503427546,0.01759595293082591,0.01846658601854907,0.0006723683502770157,,0.048410521219945137,0.05930288849443279,0.12028669786455812,70.0,0.0029784816158950106,0.0021536713222625463,0.0045364566149785545,0.0024286080868067012,270.0,0.005315444114520327,0.0013288610286300818,,0.0001832911763627699,0.0007789874995417721,0.0017870889695370065,0.0015121522049928516,0.0005498735290883097,0.0012372154404486969,0.0012372154404486969,0.001741266175446314,0.00407822867407163,0.00407822867407163,9.164558818138495e-05,0.00027493676454415486,0.00027493676454415486,0.0026577220572601636,0.01168481249312658,0.016954433813556217,0.02094101689944646,0.0007789874995417721,0.25227260502393634,,,,,,
GM0484,Alphen aan den Rijn,2013,108586,0.6830991103825539,0.49656493470613156,0.5034258560035364,0.24165177831396312,0.2379220157294679,0.2920726428821395,0.18423185309340062,0.03375204906709889,0.8203635827823108,0.08362035621535005,0.09600685171200707,0.17962720792735712,0.027766010351242335,0.013721842594809644,0.009255336783747445,0.007459525168990478,92655,0.010774869688541801,0.3945720442782679,0.013998121304772255,0.011465566463448327,0.011189287753485716,0.020444624537233162,0.17529884147127622,0.013813935498130514,0.02352973679848231,5100.0,0.5165030482751,0.0022562761313613174,0.011695798721750502,,,0.9799145377857182,0.6762842355368095,0.5561490431547345,0.04655296262869983,24535.0,0.1991509034313816,0.04839482069511723,0.03573204648849759,0.1846002247066841,0.10240730849280755,0.015103236144622695,0.020674856795535337,0.0420404103659772,0.016024165177831395,4255.0,0.03761995100657543,0.015011143241301825,0.016484629694435746,0.0005392652510953826,,0.048264239973036735,0.059453993933265926,0.11890798786653185,180.0,0.0033153445195513234,0.002026043873059142,0.004374412907741329,0.0048809238760061146,255.0,0.008979058073784834,0.0013813935498130515,0.00036837161328348036,0.00041441806494391543,0.001105114839850441,0.002026043873059142,0.002210229679700882,0.00046046451660435045,0.0013353470981526164,0.0015655793564547916,0.0018418580664174018,0.004420459359401764,0.005433481295931335,0.00013813935498130513,0.00032232516162304534,0.00036837161328348036,0.0033153445195513234,0.013353470981526163,0.019569741955684894,0.02389810841176579,0.000966975484869136,0.3955510616784631,33265.0,0.1778774427642606,0.11801705560569503,0.249894093161181,0.18031790470226364,0.17060210340191184
GM0484,Alphen aan den Rijn,2014,109870,0.6812414671884955,0.4964958587421498,0.5035041412578501,0.2386001638299809,0.23819058887776462,0.290070082825157,0.1878128697551652,0.0350869209065259,0.8170565213434059,0.08514608173295714,0.09779739692363702,0.18294347865659416,0.02835168835896969,0.013561481751160462,0.00937471557294985,0.007554382451988714,93120,0.009829798853190134,0.38827705470101026,0.014562664967689086,0.012560298534631838,0.011832165286247384,0.020842814235005006,0.17807408755802312,0.004687357786474925,0.012651315190679895,5100.0,0.5047783744425229,0.0020478747610812777,0.012651315190679895,,,0.9802038773095476,0.6732957131155002,0.5556111768453627,0.053290252116137256,24855.0,0.19859834349685992,0.050059160826431234,0.03572403749886229,0.1833530536088104,0.10557932101574588,0.014335123327568946,0.020114680986620552,0.0455083280240284,0.01620096477655411,4645.0,0.03731682897970329,0.0150632565759534,0.014699189951761173,0.0008016246259085079,,0.05330803762291578,0.05925342026507054,0.123116182129115,160.0,0.002867024665513789,0.0020478747610812777,0.0032765996177300445,0.004687357786474925,220.0,0.008145990716301083,0.0012287248566487667,0.0005005916082643124,0.00040957495221625556,0.0012742331846727951,0.0020478747610812777,0.0012742331846727951,0.00045508328024028395,0.0012742331846727951,0.0018658414489851642,0.0017748247929371074,0.00455083280240284,0.006553199235460089,9.101665604805679e-05,0.0003185582961681988,0.00045508328024028395,0.002730499681441704,0.015199781560025485,0.021935014107581686,0.026485846909984526,0.0010921998725766816,0.3906584010260795,33715.0,0.18262492036042596,0.12269045235278056,0.2490215709474834,0.18576499499408392,0.1759807044689178
GM0484,Alphen aan den Rijn,2015,110404,0.6836165356327669,0.4971740154342234,0.5027897539944205,0.2362686134560342,0.23776312452447376,0.2876707365675157,0.19215789282996992,0.03604941849932974,0.8131951740878953,0.08704394768305496,0.0997699358718887,0.18681388355494366,0.028622151371327127,0.013677040686931633,0.009465236766783812,0.00760841998478316,93405,0.009691677837759502,0.3874859606535995,0.01354117604434622,0.014084634614687874,0.012091953190101808,0.020153255316836347,0.17974892214050214,0.0054345857034165425,0.012771276403028876,4785.0,0.49663055686388174,0.0019926814245860656,0.01204666497590667,255.0,0.017888844607079454,0.979312343755661,0.6687257708054056,0.5554146588891706,0.03659287706967139,25080.0,0.19994746567153365,0.05244375203796964,0.03577768921415891,0.18319082641933263,0.10796710264120865,0.013858193543712184,0.02006267888844607,0.0490471359733343,0.017888844607079454,5055.0,0.03781565885294011,0.01671135103800587,0.015171551755371182,0.0007949757532395262,,0.05650952645944299,0.05710575827437263,0.1335559265442404,125.0,0.0034419042788304773,0.002219122495561755,0.0029890221368790984,0.004302380348538097,235.0,0.00760841998478316,0.0014945110684395492,0.000317017499365965,0.0005434585703416542,0.0011774935690735842,0.0020832578529763413,0.0013133582116589978,0.0004981703561465164,0.001222781783268722,0.0019926814245860656,0.0015397992826346873,0.00443824499112351,0.006521502844099852,0.00018115285678055142,0.00036230571356110283,0.0004981703561465164,0.002807869280098547,0.01861345603420166,0.023821600666642514,0.030841273866888883,0.001585087496829825,0.3892068791901847,33870.0,0.18672330712655338,0.12843737545741096,0.2484511430745263,0.1899840585486033,0.1820586210644542
GM0484,Alphen aan den Rijn,2016,111453,0.6841987205369079,0.4979677532233318,0.5020053296008182,0.23413456793446566,0.23763380079495391,0.2851874781297946,0.19595704018734356,0.037055978753375865,0.8067974841412973,0.08900612814370183,0.10421433249890089,0.1932204606426027,0.029070549917902613,0.013638035763954313,0.009690183305967538,0.007671395117224301,94205,0.010228526822965734,0.38917750082994623,0.011170627977712578,0.014490412999201457,0.01274079656895732,0.019918710128933273,0.181197455429643,0.00637039828447866,0.015432514153948302,4505.0,0.4794846258063937,0.0016598925107444394,0.011036042098463029,245.0,0.01700268274519304,0.9779458605869739,0.669250715548258,0.5688945115878442,0.03687653091437646,25375.0,0.20255174827057146,0.05190528743057612,0.03597929171937947,0.1831713816586364,0.10874539043363571,0.014714722797950705,0.019380366611935075,0.04979677532233318,0.018572851336437782,5195.0,0.03737001247162481,0.017361578423191838,0.015118480435699353,0.0003934116659672681,,0.058224926563155685,0.06288029794376836,0.13841533780948384,140.0,0.0035440948202381272,0.0026019936654912835,0.003319785021488879,0.004979677532233318,225.0,0.008254600593972348,0.0017944783899939885,0.0004934815572483468,0.0007626533157474451,0.0015253066314948902,0.002691717584990983,0.0009869631144966936,0.0003588956779987977,0.0010766870339963932,0.0017944783899939885,0.0017944783899939885,0.004396472055485272,0.006774155922227306,0.00022430979874924856,0.0004486195974984971,0.0005832054767480463,0.002826303464240532,0.020412191686181618,0.025750764896413734,0.033467021973387884,0.0017944783899939885,0.44724349559378934,34265.0,0.19393825199860032,0.1331951584973038,0.2468305025436731,0.19828986209433572,0.18792674939212045
GM0484,Alphen aan den Rijn,2017,112310,0.685495503517051,0.49813017540735466,0.5018698245926454,0.23225892618644822,0.23844715519544118,0.2820763956904995,0.19931439764936337,0.038019766717122254,0.8012198379485354,0.09148784614014781,0.1072923159113169,0.1987801620514647,0.029249398984952366,0.013533968480099724,0.009927878194283679,0.007790935802688986,94695,0.010462113792182353,0.39284124298815776,0.009126524797435668,0.01584898940432731,0.012599056183777047,0.020256433086991363,0.18350992787819428,0.006766984240049862,0.015670910871694418,4470.0,0.47097319918083874,0.0013801086279049061,0.010061437093758348,3860.0,0.0170064998664411,0.9780963404861543,0.6666815065443861,0.5722553646157955,0.03659513845605912,25800.0,0.2007835455435847,0.053022883091443325,0.036283501023951566,0.18297569228029562,0.10974089573501915,0.014290802243789511,0.01927700115751046,0.051687294096696645,0.019187961891194018,5470.0,0.03868756121449559,0.018074971062238446,0.015270234173270412,0.0006494518626279421,,0.06124331064581493,0.06299683067491038,0.14716579207149166,190.0,0.0031163743210755944,0.002582138723176921,0.002804736888968035,0.0049416792805627285,270.0,0.008102573234796545,0.0018698245926453566,0.0005342355978986733,0.0006232748642151189,0.00160270679369602,0.0022705012910693616,0.0010239515626391238,0.0003561570652657822,0.0009794319294809011,0.0015581871605377972,0.0016472264268542428,0.004362924049505832,0.006677944973733417,0.0001780785326328911,0.0004897159647404506,0.0006232748642151189,0.0023150209242275843,0.021903659513845607,0.026088505030718547,0.033478764134983525,0.0014246282610631288,0.44182210214578893,34200.0,0.2018965363725403,0.14041492298103464,0.2439230700739026,0.20381088059834387,0.197444573056718
GM0484,Alphen aan den Rijn,2018,113604,0.6856272666455406,0.4989701066863843,0.5010386958205697,0.22939333122073166,0.24132072814337524,0.2795236083236506,0.2013133340375339,0.03886306820182388,0.7944262525967396,0.09506707510298933,0.1105154748072251,0.20558254991021443,0.029488398295834654,0.01355586070912996,0.010210908066617373,0.007922256258582444,95405,0.010651033414316398,0.39857751487623677,0.00695398049364459,0.015096299426076546,0.012059434526953277,0.02068589134185416,0.1819478187387768,0.005589591915777613,0.014524136474067815,4620.0,0.44536283933664306,0.0011883384387873666,0.009198619766909616,3755.0,0.01764902644273089,0.9750536952924193,0.6657336009295447,0.5710626386394845,0.039303193549522907,25995.0,0.2033819231717193,0.053783317488820814,0.035958240907010317,0.18124361818245838,0.10941516143797754,0.014392098869758107,0.019189465159677475,0.0499982394986092,0.019937678250765818,5325.0,0.03622231611562973,0.01870532727720855,0.015316362099926059,0.0021825651559892155,,0.057902169726537424,0.06438567210168186,0.137629991012967,195.0,0.0013203760430970741,0.0007042005563184395,0.0003961128129291222,0.00374106545544171,285.0,0.005413541776698004,0.00048413788246892713,0.0005281504172388297,0.0006601880215485371,0.0008802506953980493,0.0007482130910883419,0.0005281504172388297,0.0003961128129291222,0.0009242632301679518,0.0015404387169465864,0.0018045139255660012,0.004533291081299954,0.006689905285025175,8.802506953980494e-05,0.0003961128129291222,0.0005721629520087321,0.002904827294813563,0.022886518080349284,0.02658357100102109,0.03547410302454139,0.0015404387169465864,0.36365387084349726,34100.0,0.20835533960071828,0.14748600401394318,0.23916411393965,0.2088834900179571,0.20624273793176295
