WKC,GMN,WKN,YEAR,Total_All_Pop,Total_ICPCPat_Pop,Gender_Mannen,Gender_Vrouwen,0to20,21to40,41to60,61to80,Above80,MajorEthnicity_NativeDutch,MajorEthnicity_Western,MajorEthnicity_NonWestern,MajorEthnicity_Other,MinorEthnicity_Marokko,MinorEthnicity_Suriname,MinorEthnicity_Turkije,MinorEthnicity_VoormaligeNederlandseAntillenenAruba,Multiperson_Household,HouseholdType_Institutional,Employee,Unemployment_benefit_user,Welfare_benefit_user,Other_social_benefit_user,Sickness_benefit_user,Pension_benefit_user,Moving_count_above_1,Lifeevents_count_above_2,Low_Income,Debt_Mortgage,Debt_Poor,Wanbet,WMO_user,WLZ_user,ZVWKHUISARTS_user,ZVWKFARMACIE_user,ZVWKZIEKENHUIS_user,ZVWKOSTENPSYCHO_user,HVZ_Medication_user,UniqueMed_Count_5,UniqueMed_Count_10,DIAB_Medication_user,BLOEDDRUKV_Medication_user,CHOL_Medication_user,DIURETICS_Medication_user,DIURETICS_RAAS_BETA_Medication_user,OPIOID_Medication_user,OPIOID_MULYEARS_Medication_user,Opioid_user_no_death,Opioid_user_no_death_primary,Opioid_user_2Years_no_death,Opioid_user_2Years_no_death_primary,ICU_Referral,Ambulance_Referral,Cardiologist_Referral,Lab_Referral,Physiologie_Referral,Hypertensie_patients,COPD_patients,Diabetes_I_patients,Diabetes_II_patients,Hartfalen_patients,ICPC_Hartfalen_patients,OMA_patients,Morbus_Parkinson_patients,Heupfractuur_patients,BMIUP45_patients,Lung_Cancer_patients,Colon_Cancer_patients,Back_pain_patients,Medication_Dependency_patients,Medication_Dependency_3Years_patients,Medication_Dependency_5Years_patients,Alcohol_Dependency_patients,Alcohol_Dependency_3Years_patients,Alcohol_Dependency_5Years_patients,Loneliness_patients,Loneliness_3Years_patients,Loneliness_5Years_patients,ICPC_Obesitas_patients,BMI_NormalWeight,BMI_Obese,BMI_OverWeight,BMI_UnderWeight,Primary_care_patients_in_Secondary_care,HBOPL_Low,HBOPL_Mid,HBOPL_High,HGOPL_Low,HGOPL_Mid,HGOPL_High
WK048401,Alphen aan den Rijn,Oudshoorn,2009,9861,0.9240442145826995,0.4979211033363756,0.5019774870702769,0.2393266403001724,0.266200182537268,0.31132745157691916,0.14755095832065712,0.022310110536456748,0.7762904370753473,0.08924044214582699,0.1348747591522158,0.2241152012980428,0.030422878004259205,0.022817158503194403,0.012676199168441335,0.011662103234966028,0.2154953858635027,0.0015211439002129601,,,,,,,0.005577527634114187,0.008112767467802455,,,0.004056383733901227,,,,0.9740391441030322,0.7088530574992394,0.533921508974749,0.04208498123922523,0.203326234661799,0.20636852246222492,0.04816955684007707,0.035493357671635736,0.16833992495690092,0.08771929824561403,0.014197343068654295,0.021803062569719096,0.044620221072913496,,0.04259202920596288,0.05476118040766657,,0.02078896663624379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009633911368015413,0.014197343068654295,0.01673258290234256,,,,,,,,
WK048401,Alphen aan den Rijn,Oudshoorn,2010,9787,0.9311331357923777,0.49810973740676406,0.5016859098804537,0.2375600286093798,0.2615714723612956,0.3070399509553489,0.15735158884234188,0.02247879840604884,0.7714314907530397,0.0929804843159293,0.1353836722182487,0.228364156534178,0.030652906917339327,0.021967916624093184,0.013793808112802697,0.010728517421068765,0.1961786042709717,0.0025544089097782772,,,,,,,0.0051088178195565544,0.010217635639113109,,,0.0020435271278226217,0.014815571676714009,,,0.9706753857157454,0.7116583222642281,0.544089097782773,0.04393583324818637,0.21303770307550832,0.21354858485746397,0.05108817819556555,0.03627260651885154,0.17625421477470113,0.09349136609788494,0.013282926330847041,0.02350056196996015,0.04955553284969858,0.017369980586492285,0.04751200572187596,0.060794932052723,0.01685909880453663,0.021967916624093184,,,0.05431800724240097,0.08723801163173489,0.13991001865466915,,,,,,0.0025544089097782772,,,,,,,,,,,0.0025544089097782772,0.0025544089097782772,0.0025544089097782772,,,,0.004087054255645243,0.015326453458669663,0.022989680188004496,0.026054970879738428,0.0015326453458669664,0.006035334138044551,,,,,,
WK048401,Alphen aan den Rijn,Oudshoorn,2011,9715,0.9318579516212043,0.4981986618630983,0.5018013381369018,0.2372619660319094,0.2537313432835821,0.3067421513124035,0.16675244467318578,0.024704065877509007,0.7725167267112713,0.09161091096242924,0.1363870303654143,0.22799794132784354,0.03139475038600103,0.02161605764282038,0.013896037056098817,0.01080802882141019,0.8543489449305198,0.003088008234688626,0.4271744724652599,0.011837364899639732,0.011837364899639732,0.008749356664951106,0.02676273803396809,0.1523417395779722,0.004117344312918168,0.01080802882141019,0.041688111168296446,0.5352547606793618,0.003088008234688626,0.016469377251672673,,,0.9835306227483274,0.7014925373134329,0.5666495110653629,0.0514668039114771,0.2213072568193515,0.2161605764282038,0.05404014410705095,0.03654143077714874,0.18322182192485847,0.10087493566649511,0.013896037056098817,0.024189397838394237,0.056613484302624806,0.02161605764282038,0.05404014410705095,0.06536284096757591,0.020586721564590838,0.027277406073082863,0.0011046062078868884,,0.056334916602231305,0.08395007179940352,0.14415111012923892,,,,,,0.003088008234688626,,,,,,,,,0.001029336078229542,0.001029336078229542,0.0025733401955738548,0.004632012352032939,0.004632012352032939,,,,0.003602676273803397,0.014925373134328358,0.023674729799279464,0.029850746268656716,0.001029336078229542,0.011046062078868883,,,,,,
WK048401,Alphen aan den Rijn,Oudshoorn,2012,9648,0.9367744610281924,0.4975124378109453,0.5021766169154229,0.2316542288557214,0.25031094527363185,0.3036898839137645,0.17879353233830847,0.023839137645107793,0.7737354892205639,0.09172885572139304,0.13422470978441128,0.2259535655058043,0.031612769485903816,0.021766169154228857,0.01451077943615257,0.009846600331674959,0.8519900497512438,0.0036276948590381426,0.421849087893864,0.012956053067993367,0.010364842454394693,0.010364842454394693,0.028503316749585405,0.16065505804311775,0.003109452736318408,0.010364842454394693,0.048196517412935326,0.5368988391376451,0.003109452736318408,0.01554726368159204,,,0.9867330016583747,0.7074004975124378,0.5674751243781094,0.04508706467661692,0.2259535655058043,0.21507048092868988,0.05026948590381426,0.038868159203980096,0.18864013266998342,0.10572139303482588,0.012437810945273632,0.025912106135986733,0.054933665008291874,0.024875621890547265,0.051824212271973466,0.06322553897180763,0.022802653399668325,0.02902155887230514,,,0.05919451206019031,0.08906837795972561,0.1383049347200708,,0.0036276948590381426,0.0020729684908789387,0.005182421227197346,0.002591210613598673,0.003109452736318408,0.0041459369817578775,,,,,0.0020729684908789387,0.0020729684908789387,0.0010364842454394694,0.001554726368159204,0.001554726368159204,0.003109452736318408,0.00673714759535655,0.00673714759535655,,,,0.0046641791044776115,0.012437810945273632,0.021766169154228857,0.028503316749585405,0.0010364842454394694,0.2506085417127683,,,,,,
WK048401,Alphen aan den Rijn,Oudshoorn,2013,9648,0.9363598673300166,0.49906716417910446,0.5006218905472637,0.23113598673300165,0.24927446102819237,0.29850746268656714,0.18760364842454394,0.024875621890547265,0.769589552238806,0.09172885572139304,0.13837064676616914,0.2300995024875622,0.03264925373134328,0.022802653399668325,0.013992537313432836,0.010364842454394693,0.8504353233830846,0.003109452736318408,0.4114842454394693,0.017620232172470978,0.011401326699834163,0.010883084577114429,0.027466832504145937,0.16376451077943616,0.0046641791044776115,0.010883084577114429,0.055970149253731345,0.5400082918739635,0.003109452736318408,0.0134742951907131,,,0.9888059701492538,0.68356135986733,0.5550373134328358,0.051305970149253734,0.22647180762852404,0.20833333333333334,0.051824212271973466,0.03990464344941957,0.18708540630182421,0.1077943615257048,0.012956053067993367,0.025393864013266997,0.04405058043117745,0.019174958540630182,0.04145936981757877,0.051305970149253734,0.018138474295190714,0.023839137645107793,,,0.056453398273190174,0.08578702678769094,0.1455612131945982,0.0020729684908789387,0.0041459369817578775,0.0020729684908789387,0.0046641791044776115,0.0046641791044776115,0.001554726368159204,0.008291873963515755,,,,0.0010364842454394694,0.0020729684908789387,0.002591210613598673,,0.001554726368159204,0.0020729684908789387,0.002591210613598673,0.00673714759535655,0.008291873963515755,,,,0.0046641791044776115,0.018138474295190714,0.028503316749585405,0.03005804311774461,0.001554726368159204,0.38521142351118,,0.20004145936981757,0.12230514096185738,,0.19693200663349916,0.18604892205638474
WK048401,Alphen aan den Rijn,Oudshoorn,2014,9637,0.9353533257237729,0.4996368164366504,0.5001556500985784,0.2282868112483138,0.24748365673964925,0.29365985265124,0.1945626232229947,0.024904015772543323,0.7673549859914911,0.09339005914703746,0.1390474213967002,0.23243748054373767,0.03372418802531908,0.02179101380097541,0.01400850887205562,0.009857839576631732,0.8493307045761129,0.0031130019715679153,0.40624675728961296,0.016602677181695547,0.013489675210127634,0.010895506900487704,0.02801701774411124,0.16654560547888347,0.006226003943135831,0.01400850887205562,0.05032686520701463,0.5297291688284735,0.0031130019715679153,0.01504617619591159,,,0.9868216249870292,0.6812285981114454,0.5510013489675211,0.05707170281207845,0.22621147660060184,0.20338279547577046,0.05032686520701463,0.04150669295423887,0.184185949984435,0.11051156999066099,0.009857839576631732,0.02386634844868735,0.049808031545086645,0.018159178167479507,0.0477326968973747,0.054477534502438515,0.01764034450555152,0.02127218013904742,0.0011093854004881295,,0.06489904592855558,0.0915242955402707,0.14144663856223652,0.0015565009857839577,0.0031130019715679153,0.0020753346477119434,0.0025941683096399296,0.004669502957351873,0.0020753346477119434,0.006226003943135831,0.0010376673238559717,,,0.0015565009857839577,0.0025941683096399296,0.0020753346477119434,,0.0015565009857839577,0.0020753346477119434,0.0031130019715679153,0.006744837605063817,0.010376673238559718,,,,0.0031130019715679153,0.02127218013904742,0.03061118605375117,0.03579952267303103,0.0010376673238559717,0.3844020412691369,,0.19819445885649062,0.12711424717235653,,0.20026979350420254,0.1872989519560029
WK048401,Alphen aan den Rijn,Oudshoorn,2015,9578,0.943098768010023,0.5027145541866778,0.49749425767383587,0.22551680935477136,0.2443098768010023,0.29077051576529545,0.20306953434955105,0.02662351221549384,0.7647734391313427,0.0955314261850073,0.13938191689287951,0.23491334307788683,0.034453956984756735,0.02088118605136772,0.014616830235957402,0.010962622676968051,0.8503863019419503,0.0020881186051367718,0.4050950093965337,0.016704948841094174,0.015660889538525787,0.010962622676968051,0.02505742326164126,0.17331384422635207,0.0036542075589893505,0.010962622676968051,0.05063687617456671,0.5173313844226352,0.0031321779077051574,0.013050741282104823,0.0031321779077051574,0.01044059302568386,0.9855919816245563,0.6807266652745876,0.5507412821048235,0.038630194195030276,0.2286489872624765,0.21142200877009815,0.05846732094382961,0.041240342451451244,0.1858425558571727,0.11432449363123826,0.009918563374399666,0.024013363959072876,0.05429108373355607,0.02088118605136772,0.051158905825850906,0.05429108373355607,0.019315097097515138,0.021925245353936102,0.0011070519207350825,,0.06919074504594265,0.09299236134174693,0.15221963910107383,0.0010440593025683859,0.0041762372102735435,0.0020881186051367718,0.0036542075589893505,0.004698266861557736,0.0036542075589893505,0.006786385466694508,,,0.0010440593025683859,0.0010440593025683859,0.002610148256420965,0.0015660889538525787,0.0010440593025683859,0.0015660889538525787,0.002610148256420965,0.0020881186051367718,0.005742326164126122,0.009918563374399666,,,,0.004698266861557736,0.023491334307788683,0.032887868030904155,0.03758613489246189,0.0015660889538525787,0.3863611203365438,,0.20306953434955105,0.13102944247233242,,0.20254750469826685,0.1910628523700146
WK048401,Alphen aan den Rijn,Oudshoorn,2016,9533,0.9433546627504458,0.5019406272946606,0.49826917025070805,0.22867932445190392,0.23812021399349628,0.2853246617014581,0.21084653309556278,0.0262246931710899,0.7536976817371237,0.10017832791356342,0.14633378789468163,0.24651211580824503,0.03619007657610406,0.01993076681002832,0.01573481590265394,0.011014371131857758,0.8538760096506871,0.001573481590265394,0.39809084233714465,0.01521032203923214,0.016259309766075737,0.00996538340501416,0.024651211580824506,0.17570544424630233,0.004720444770796182,0.012587852722123151,0.045106472254274624,0.49774467638728626,0.003146963180530788,0.010489877268435959,0.0026224693171089898,0.007342914087905172,0.9860484632329801,0.6860379733557117,0.5837616699884611,0.037763558166369456,0.23130179376901291,0.21294450854924998,0.05716983111297598,0.04038602748347844,0.18776880310500368,0.11433966222595196,0.012587852722123151,0.022553236127137312,0.05297388020560159,0.022028742263715515,0.049826917025070805,0.051924892478758,0.02045526067345012,0.022028742263715515,,,0.07505837873901924,0.10063382630935172,0.1501167574780385,0.001573481590265394,0.0041959509073743835,0.0026224693171089898,0.003671457043952586,0.004720444770796182,0.003146963180530788,0.008916395678170565,0.0010489877268435959,,0.001573481590265394,0.0020979754536871917,0.0026224693171089898,0.001573481590265394,,0.001573481590265394,0.0020979754536871917,0.0020979754536871917,0.0052449386342179796,0.008916395678170565,,0.0010489877268435959,0.0010489877268435959,0.0041959509073743835,0.024651211580824506,0.03409210112241687,0.04038602748347844,0.0026224693171089898,0.4353385966863116,,0.2071750760516102,0.14056435539704185,,0.202454631280814,0.20035665582712683
WK048401,Alphen aan den Rijn,Oudshoorn,2017,9612,0.9421556387848523,0.5035372451102789,0.49677486475239285,0.22940074906367042,0.2361631294215564,0.28297960882230544,0.21431543903454014,0.027049521431543905,0.7485434873075323,0.10195588847274241,0.14929255097794425,0.25124843945068664,0.03641281731169372,0.02028714107365793,0.015605493133583021,0.010923845193508116,0.8520599250936329,0.0036412817311693717,0.40418227215980024,0.011444028297960882,0.016645859342488557,0.010403662089055347,0.024448605909280066,0.17946317103620474,0.007282563462338743,0.016125676238035788,0.04525593008739076,0.4894923012900541,0.002600915522263837,0.010403662089055347,0.04161464835622139,0.008843112775697045,0.9873075322513525,0.6762380357885975,0.5716812317935913,0.036933000416146486,0.23252184769038703,0.20807324178110695,0.05774032459425718,0.04005409904286309,0.18778610070744903,0.11548064918851436,0.010403662089055347,0.022888056595921764,0.056179775280898875,0.022367873491468997,0.05305867665418227,0.05409904286308781,0.020807324178110695,0.022367873491468997,,,0.07232773851590106,0.08778710247349823,0.15459363957597172,0.002600915522263837,0.002600915522263837,0.002600915522263837,0.002600915522263837,0.005201831044527674,0.003121098626716604,0.008322929671244279,0.0010403662089055348,,,0.001560549313358302,0.002600915522263837,0.0010403662089055348,0.0010403662089055348,0.0020807324178110697,0.002600915522263837,0.003121098626716604,0.006242197253433208,0.008322929671244279,,0.0010403662089055348,0.0010403662089055348,0.003121098626716604,0.025488972118185602,0.03641281731169372,0.03953391593841032,0.002600915522263837,0.4267888692579505,,0.21431543903454014,,,0.21067415730337077,
WK048401,Alphen aan den Rijn,Oudshoorn,2018,9796,0.9379338505512455,0.5022458146182115,0.4976521028991425,0.23172723560636996,0.24040424663127807,0.2781747652102899,0.21386280114332382,0.027051857901184157,0.7416292364230298,0.10310330747243773,0.15516537362188648,0.2582686810943242,0.03726010616578195,0.01939567170273581,0.017354022049816252,0.010718660677827684,0.8488158432013067,0.002041649652919559,0.41088199265006126,0.008166598611678236,0.017354022049816252,0.010208248264597795,0.022458146182115148,0.17660269497754186,0.009187423438138016,0.015822784810126583,0.045426704777460185,0.46957942017149856,0.0025520620661494487,0.010718660677827684,0.03777051857901184,0.009187423438138016,0.9840751327072275,0.6696610861576153,0.5747243772968559,0.043895467537770516,0.22764393630053084,0.2041649652919559,0.05716619028174765,0.04134340547162107,0.18221723152307065,0.1148427929767252,0.012249897917517355,0.022458146182115148,0.0500204164965292,0.02143732135565537,0.04746835443037975,0.04899959167006942,0.01939567170273581,0.02041649652919559,0.002720940356987375,,0.0718328254244667,0.09251197213757074,0.14529821506312582,0.0015312372396896693,0.0015312372396896693,,,0.004083299305839118,0.0035728868926092282,0.004593711719069008,,,,0.0010208248264597796,,,0.0010208248264597796,0.0015312372396896693,0.0025520620661494487,0.0015312372396896693,0.005614536545528787,0.008166598611678236,,,0.0010208248264597796,0.0035728868926092282,0.026031033074724378,0.033687219273172725,0.04338505512454063,0.0030624744793793387,0.3390291684806269,,0.21794610044916293,0.1490404246631278,,0.21131073907717435,0.21284197631686402
