GMC,gem_name,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
GM0484,Alphen aan den Rijn,2009,38.2977712729123,,0.0886627773860004,0.573162561576355,3.73629195648527,1884.81531820788,128.578391324872,77.9153777086647,1030.98016865216,284.428984847221,212.901213705423
GM0484,Alphen aan den Rijn,2010,38.5839789095558,,0.0857689806461068,0.715130167213248,3.79621680328929,1927.89341626619,132.497576903422,73.2983647512405,1048.57795586938,288.968986203374,215.684926617375
GM0484,Alphen aan den Rijn,2011,38.9251952822314,28359.7237655771,0.0861723263415215,0.779565111955379,3.85198413221398,1968.16036309812,147.87992131722,84.6702602158499,1068.9637333272,281.548020754542,231.745204928616
GM0484,Alphen aan den Rijn,2012,39.2823610144558,28466.6078793966,0.0818853330400675,0.818052176830803,3.80686626746507,1910.55835083743,146.629128350723,87.9767271671434,1082.38571605031,249.254960823718,197.571130488457
GM0484,Alphen aan den Rijn,2013,39.6692820996009,28694.017651718,0.378354484003463,1.1567959521106,3.83807678664011,2068.94806972221,146.768535629592,86.7666452049224,1174.70346198027,235.485249666496,241.293120555556
GM0484,Alphen aan den Rijn,2014,39.9391950473668,29817.5581740323,0.0866296532265405,0.835814705760378,3.8576241255179,2057.10924106124,158.092015194509,95.933939038902,1190.98062727688,235.338278169338,200.152834786907
GM0484,Alphen aan den Rijn,2015,40.214582105725,29821.3117399504,0.0859932611137278,0.856104952879146,3.89268140597254,2105.32895360061,156.320670037813,93.2954681791247,1137.70196565076,245.502725980591,155.430172699615
GM0484,Alphen aan den Rijn,2016,40.4803186768967,31272.6183474553,0.0998716947951154,0.928297501452644,3.90622319897084,2110.01412550312,163.151924087197,100.332693324907,1141.6507111071,239.676877555627,149.38517054991
GM0484,Alphen aan den Rijn,2017,40.7006175940474,32244.0823953956,0.0992342623096786,0.933064206074587,3.91616269735082,2207.40569545322,169.365768889757,105.180504652477,1208.67480561701,238.724485541056,150.789161748507
GM0484,Alphen aan den Rijn,2018,40.8870688036322,32871.6702845091,0.0994947361008415,0.933034186409096,3.94444959535888,2283.13701298819,176.545972872713,109.915576322059,1232.55684822356,246.156214574721,173.93629585034
GM0484,Alphen aan den Rijn,2019,41.0981911206267,35247.6903767191,0.0932541588438196,0.933267986669281,3.90389374473463,2379.76070389012,185.094339103929,115.988558140763,1298.01423212388,250.486666139672,189.320224060851
GM0484,Alphen aan den Rijn,2020,41.3479317884038,35895.9449436003,0.0968083444697062,0.952377270970236,3.8381285107549,2315.72099833215,184.271001999635,116.275691357911,1231.02704176527,258.138130124605,207.840531168957
GM0484,Alphen aan den Rijn,2021,41.5505144360037,37079.9521402299,0.0833455917346647,0.923896563342318,3.86798661989951,2476.41858281711,202.223428997101,127.584463176411,1406.34922371208,260.624094025805,143.090908892896
GM0484,Alphen aan den Rijn,2022,41.6651791781481,39194.4228327757,0.0845477065003844,0.939422563554971,3.88697272438947,2408.8986483,209.338258686226,133.796568368551,1458.56020710136,287.735577710631,
