GMC,GMN,YEAR,Total_All_Pop,Total_ICPCPat_Pop,%_Gender_Mannen,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_DIURETICS_Medication_user,%_DIURETICS_RAAS_BETA_Medication_user,%_OPIOID_Medication_user,%_OPIOID_MULYEARS_Medication_user,%_Opioid_user_no_death,%_Opioid_user_no_death_primary,%_Opioid_user_2Years_no_death,%_Opioid_user_2Years_no_death_primary,%_Opioid_user_no_death_comb,%_Opioid_user_2Years_no_death_comb,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Hartfalen_patients,%_ICPC_Hartfalen_patients,%_Hartfalen_PrimarynSecondary_patients,%_OMA_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,%_Lung_Cancer_patients,%_Colon_Cancer_patients,%_Back_pain_patients,%_Medication_Dependency_patients,%_Medication_Dependency_3Years_patients,%_Medication_Dependency_5Years_patients,%_Alcohol_Dependency_patients,%_Alcohol_Dependency_3Years_patients,%_Alcohol_Dependency_5Years_patients,%_Loneliness_patients,%_Loneliness_3Years_patients,%_Loneliness_5Years_patients,%_ICPC_Obesitas_patients,%_BMI_NormalWeight,%_BMI_Obese,%_BMI_OverWeight,%_BMI_UnderWeight,%_Primary_care_patients_in_Secondary_care,%_Proxy_Primary_care_refer_to_Secondary_care,%_JGDHULP_user,%_GEDETINEERDENTAB,%_SHNTAB,%_HBOPL_Low,%_HBOPL_Mid,%_HBOPL_High,%_HGOPL_Low,%_HGOPL_Mid,%_HGOPL_High
GM0546,Leiden,2018,128610,45420,0.4834771790685017,0.5164839437057771,0.19928465904673043,0.3570873182489698,0.24084441334266388,0.16169038177435657,0.032734624057227275,0.6830728559210015,0.1499105823808413,0.1670165616981572,0.04206515823030869,0.014773345774045564,0.017883523831739367,0.010069201461783688,90085,0.012168571650727005,0.37419329756628567,0.007153409532695747,0.0276028302620325,0.01119664100769769,0.020488297955057928,0.14536194697146412,0.007542181789907472,0.028185988647850088,8465.0,0.39989114376798074,0.0006609128372599331,0.01181867661923645,7425.0,0.01193530829639997,0.94164528419252,0.6213358214757795,0.5283803747764559,0.06010419096493274,24170.0,0.17774667599720084,0.04847990047430215,0.03160718451131327,0.14761682606329213,0.09213902495917892,0.013684783453852734,0.01823341886322992,0.042415053261799236,0.017105979317315917,4485.0,0.009952569784620169,0.01349039732524687,0.003965477023559599,0.03611694269496929,0.013918046808179768,235.0,0.0013995801259622112,0.0007775445144234507,0.00042764948293289793,0.003187932509136148,150.0,505.0,0.003809968120674909,0.0003110178057693803,0.00038877225721172535,0.0005442811600964155,0.0005442811600964155,0.0005442811600964155,0.00046652670865407047,0.0003498950314905528,0.0010496850944716584,0.0014384573516833838,0.0009719306430293135,0.002099370188943317,0.0031490552834149755,,0.00019438612860586267,0.00027214058004820774,0.001166316771635176,0.006842391726926367,0.007308918435580437,0.009447165850244927,0.00042764948293289793,0.15768602752507582,0.04999611227742788,2720.0,,0.01073011429904362,31025.0,0.20394992613327112,0.26988570095637976,0.19489153254023792,0.13210481300054427,0.38628411476557034
GM0546,Leiden,2019,128740,45550,0.4834938636010564,0.5165449743669411,0.19279167313966133,0.36181450986484387,0.2389311791207084,0.16498368805344105,0.03289575889389467,0.6736833928848842,0.15515768215006992,0.17119776293304334,0.042605250893273265,0.014641913935062917,0.01821500699083424,0.010136709647351251,89750,0.011496038527264253,0.38072860027963334,0.00586453316762467,0.026099114494329657,0.011068820879291596,0.020428771166692557,0.14587540779866398,0.006835482367562529,0.026526332142302315,7905.0,0.3799518409196831,0.0006602454559577443,0.010719279167313966,7780.0,0.012078608047226968,0.9386748485319248,0.6149603852726425,0.5314975920459841,0.0597327947801771,24290.0,0.17348920304489668,0.04528507068510176,0.03184713375796178,0.1467298430946093,0.09196830821811403,0.013088395215162342,0.017865465278856612,0.040818704365387606,0.01600124281497592,4375.0,0.00827248718347056,0.013010719279167315,0.0031847133757961785,0.03417741183781264,0.013088395215162342,255.0,0.0012816529439179743,0.0006602454559577443,0.0003883796799751437,0.003029361503806121,115.0,470.0,0.003806120863756408,0.0002718657759826006,0.00046605561597017243,0.00046605561597017243,0.0006602454559577443,0.0005048935839676868,0.0003883796799751437,0.0003883796799751437,0.0009321112319403449,0.0015146807519030604,0.0008932732639428305,0.0021749262078608047,0.0030681994718036354,,0.00015535187199005747,0.0002718657759826006,0.001048625135932888,,,,,0.1578763399098959,0.057014137020351095,2670.0,,0.01180674227124437,30730.0,0.20316141059499768,0.2779244989902128,0.19116047848376572,0.13305887835948424,0.3937393195588007
GM0546,Leiden,2020,128020,45180,0.4840259334478988,0.5159350101546634,0.1911420090610842,0.35970942040306203,0.2373457272301203,0.16966099047023903,0.03358850179659428,0.6734885174191533,0.15610842055928761,0.17036400562412124,0.04272769879706296,0.014528979846898922,0.018083112013747852,0.010076550538978284,89930,0.010271832526167786,0.38443211998125293,0.006170910795188252,0.025894391501327916,0.013865021090454616,0.020895172629276676,0.14853147945633494,0.00714732073113576,0.02733947820653023,7115.0,0.3476019371973129,0.00046867676925480396,0.009998437744102483,7880.0,0.013044836744258709,0.9447351976253711,0.593657241056085,0.48894703952507423,0.06034213404155601,23890.0,0.16438837681612248,0.041321668489298545,0.03206530229651617,0.14560224964849242,0.09100140603030776,0.0119903140134354,0.016403686923918137,0.038626777066083424,0.01554444618028433,4155.0,0.008279956256834869,0.012771441962193408,0.003241680987345727,0.032573035463208874,0.012810498359631307,195.0,0.0008592407436338072,0.0005858459615685049,0.0003905639743790033,0.0026948914232151227,115.0,425.0,0.002265271051398219,0.0003124511795032026,0.0004296203718169036,0.00019528198718950164,0.0005858459615685049,0.00046867676925480396,0.0003124511795032026,0.0003124511795032026,0.0008592407436338072,0.001445086705202312,0.0008592407436338072,0.0021871582565224186,0.003085455397594126,,0.0001562255897516013,0.0003124511795032026,0.0009373535385096079,,,,,0.1418137790970161,0.04870332760506171,2635.0,,0.011013904077487893,30125.0,0.20625683486955163,0.2876503671301359,0.18739259490704577,0.13497890954538352,0.4048976722387127
GM0546,Leiden,2021,128480,45000,0.48396637608966375,0.5160725404732254,0.18753891656288915,0.36363636363636365,0.23451120797011207,0.17150529265255293,0.03428549190535492,0.6683530510585305,0.15757316313823164,0.17407378580323785,0.042847135740971355,0.01451587795765878,0.01805728518057285,0.010118306351183064,89920,0.01015722291407223,0.38877646326276466,0.005292652552926526,0.025451432129514322,0.013231631382316315,0.02047011207970112,0.15099626400996263,0.006654732254047322,0.02420610211706102,6645.0,0.33577210460772106,0.00035024906600249065,0.009495641344956413,7900.0,0.014476961394769615,,,,,24225.0,0.16648505603985056,0.042068804483188046,0.032534246575342464,0.14601494396014944,0.09176525529265256,0.011091220423412203,0.01646170610211706,0.04031755915317559,0.015255292652552927,4520.0,0.008717310087173101,0.013231631382316315,0.003424657534246575,0.03537515566625156,0.013309464508094644,,,,,,115.0,115.0,,,,,,,,0.00035024906600249065,0.0008561643835616438,0.0013231631382316315,0.0006615815691158157,0.0018679950186799503,0.0029965753424657533,,0.00019458281444582814,0.0002724159402241594,0.0015177459526774595,,,,,,,2645.0,,0.011441469489414696,29590.0,0.21042185554171855,0.29514321295143214,0.18271326276463262,0.13815379825653798,0.4129436488169365
GM0546,Leiden,2022,130480,44120,0.48313917841814835,0.5168991416309013,0.18527743715511955,0.37001839362354383,0.22923053341508276,0.17381974248927037,0.0341814837522992,0.6524371551195586,0.1699877375843041,0.17757510729613735,0.04199877375843041,0.01417841814837523,0.01854690374003679,0.010039852851011648,90015,0.011496014714898835,0.39078786020846107,0.0034104843654199878,0.024026670754138564,0.01433169834457388,0.020041385652973635,0.14818362967504597,0.0061312078479460455,0.022225628448804415,5310.0,0.342389638258737,0.0003448804414469651,0.008890251379521767,7915.0,0.0151364193746168,,,,,24485.0,0.16983445738810546,0.04345493562231759,0.03341508277130595,0.14423666462293072,0.09116339668914776,0.010154812998160638,0.015672900061312077,0.041653893316983444,0.015213059472716126,4875.0,0.00908185162477008,0.0134886572654813,0.003372164316370325,0.03751532801961986,0.013565297363580626,,,,,,120.0,120.0,,,,,,,,0.0002299202942979767,0.0007280809319435929,0.0011496014714898835,0.0007664009809932557,0.0018393623543838135,0.002874003678724709,,0.00019160024524831392,0.0002299202942979767,0.001072961373390558,,,,,,,2730.0,,0.010882893930104231,29480.0,0.20976394849785407,0.29606069895769466,0.1792611894543225,0.13749233599019006,0.41286020846106686
GM0547,Leiderdorp,2009,27000,9880,0.48388888888888887,0.5161111111111111,0.24814814814814815,0.2101851851851852,0.30277777777777776,0.19333333333333333,0.03666666666666667,0.8046296296296296,0.09814814814814815,0.09722222222222222,0.012407407407407407,0.018703703703703705,0.02277777777777778,0.005555555555555556,4325,0.007962962962962963,,,,,,,0.0033333333333333335,0.005,,,0.0014814814814814814,,,,0.9738888888888889,0.7207407407407408,0.5575925925925926,0.04037037037037037,6355.0,0.23277777777777778,0.05907407407407408,0.03185185185185185,0.19611111111111112,0.09166666666666666,0.01814814814814815,0.022222222222222223,0.044444444444444446,,810.0,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.002962962962962963,0.004629629629629629,0.005555555555555556,,,,,0.0007407407407407407,0.009074074074074075,,,,,,
GM0547,Leiderdorp,2010,27200,9920,0.48400735294117647,0.5161764705882353,0.24558823529411763,0.20477941176470588,0.3047794117647059,0.19797794117647058,0.0375,0.8016544117647059,0.09779411764705882,0.1005514705882353,0.013419117647058823,0.018933823529411763,0.02297794117647059,0.0058823529411764705,4435,0.0058823529411764705,,,,,,,0.004227941176470588,0.008272058823529412,,,0.001286764705882353,0.007904411764705882,,,0.9715073529411765,0.7209558823529412,0.5599264705882353,0.044301470588235296,6530.0,0.23676470588235293,0.06066176470588235,0.032536764705882355,0.2011029411764706,0.09669117647058824,0.01764705882352941,0.023529411764705882,0.05,0.016727941176470588,910.0,,0.010477941176470587,,0.033455882352941176,0.010477941176470587,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,0.003676470588235294,0.005330882352941177,0.006433823529411764,,0.0033088235294117647,0.0033088235294117647,,0.0007352941176470588,0.009191176470588236,,,,,,
GM0547,Leiderdorp,2011,27260,9760,0.48294203961848864,0.516874541452678,0.24101247248716068,0.20066030814380045,0.3057593543653705,0.20304475421863535,0.03980190755685987,0.8002567865003668,0.09812912692589876,0.10143066764490095,0.01338958180484226,0.01889214966984593,0.02256052824651504,0.00586940572267058,22955,0.00586940572267058,0.3862802641232575,0.008070432868672046,0.011188554658840793,0.0071533382245047685,0.023661041819515775,0.20359501100513572,0.003301540719002201,0.00880410858400587,880.0,0.516874541452678,0.0012839325018341892,0.008253851797505502,,,0.9798239178283199,0.7168011738811445,0.5801540719002201,0.054475421863536315,6675.0,0.23954512105649303,0.06272927366104182,0.03301540719002201,0.20561261922230376,0.10161408657373441,0.01797505502567865,0.02347762289068232,0.05227439471753485,0.020176082171680116,1030.0,0.01669112252384446,0.012839325018341893,,0.043653705062362436,0.012839325018341893,,,,,,15.0,20.0,,,,,,,,,,,0.0007336757153338225,0.000917094644167278,0.000917094644167278,,,,0.0005502567865003668,0.003851797505502568,0.005685986793837124,0.00586940572267058,,0.0045854732208363905,0.0045854732208363905,,0.0007336757153338225,0.008620689655172414,,,,,,
GM0547,Leiderdorp,2012,27250,9730,0.48293577981651375,0.5172477064220183,0.2379816513761468,0.1963302752293578,0.30678899082568806,0.2056880733944954,0.0436697247706422,0.7976146788990826,0.09853211009174312,0.10403669724770642,0.013761467889908258,0.01853211009174312,0.022935779816513763,0.005871559633027523,22900,0.006788990825688073,0.38238532110091744,0.009541284403669725,0.012110091743119266,0.007522935779816514,0.02238532110091743,0.20990825688073395,0.0034862385321100917,0.010275229357798165,950.0,0.513211009174312,0.0014678899082568807,0.007889908256880735,,,0.9809174311926605,0.7113761467889909,0.5834862385321101,0.047339449541284405,6875.0,0.23321100917431192,0.06293577981651376,0.03541284403669725,0.2108256880733945,0.10752293577981652,0.01743119266055046,0.025504587155963303,0.05559633027522936,0.02146788990825688,1110.0,0.01853211009174312,0.014311926605504587,0.0066055045871559635,0.046788990825688076,0.0163302752293578,30.0,0.003669724770642202,0.0022018348623853213,0.004220183486238532,0.0033027522935779817,40.0,115.0,0.004403669724770643,0.0014678899082568807,,,0.0011009174311926607,0.0014678899082568807,0.0012844036697247706,,0.0005504587155963303,0.0005504587155963303,0.0009174311926605505,0.0016513761467889909,0.0016513761467889909,,,,0.0007339449541284404,0.004036697247706422,0.005688073394495413,0.007339449541284404,,0.10220183486238532,0.09834862385321101,,,0.010825688073394495,,,,,,
GM0547,Leiderdorp,2013,27300,9770,0.4827838827838828,0.5172161172161173,0.2357142857142857,0.1934065934065934,0.3056776556776557,0.2108058608058608,0.045054945054945054,0.7937728937728937,0.09926739926739926,0.10714285714285714,0.01446886446886447,0.01868131868131868,0.022527472527472527,0.0062271062271062275,22885,0.0062271062271062275,0.3758241758241758,0.011721611721611722,0.013186813186813187,0.007692307692307693,0.02142857142857143,0.21336996336996336,0.004395604395604396,0.009706959706959707,1130.0,0.5168498168498169,0.001282051282051282,0.007509157509157509,,,0.9811355311355311,0.6921245421245421,0.5617216117216117,0.046703296703296704,6905.0,0.22234432234432233,0.06135531135531135,0.035897435897435895,0.21062271062271062,0.10787545787545788,0.0163003663003663,0.02490842490842491,0.04835164835164835,0.017765567765567765,960.0,0.014285714285714285,0.011904761904761904,0.005860805860805861,0.03974358974358974,0.014285714285714285,70.0,0.00402930402930403,0.002380952380952381,0.0038461538461538464,0.006043956043956044,40.0,185.0,0.00695970695970696,0.0016483516483516484,0.0005494505494505495,,0.0018315018315018315,0.0018315018315018315,0.002197802197802198,0.0005494505494505495,0.0007326007326007326,0.0007326007326007326,0.001098901098901099,0.002197802197802198,0.002380952380952381,,,,0.0009157509157509158,0.004395604395604396,0.00641025641025641,0.008424908424908424,,0.15128205128205127,0.07655677655677656,,0.0005494505494505495,,,0.15018315018315018,0.14505494505494507,,0.1457875457875458,0.2010989010989011
GM0547,Leiderdorp,2014,27380,9680,0.4828341855368882,0.5169831994156319,0.23155588020452886,0.19466764061358657,0.30405405405405406,0.21384222059897737,0.04711468224981739,0.7903579254930606,0.1006208911614317,0.10865595325054785,0.014243973703433162,0.018991964937910884,0.022644265887509132,0.005843681519357195,22880,0.007487216946676406,0.3727173119065011,0.012783053323593864,0.013696128560993425,0.008948137326515705,0.021365960555149745,0.21548575602629658,0.004382761139517896,0.01168736303871439,1075.0,0.5087655222790358,0.001095690284879474,0.008400292184075968,,,0.9804601899196493,0.6922936449963477,0.5686632578524471,0.05588020452885318,6930.0,0.22406866325785244,0.05989773557341125,0.03615777940102265,0.21055514974433892,0.11121256391526661,0.01643535427319211,0.02428780131482834,0.04948867786705625,0.018078889700511323,1020.0,0.012783053323593864,0.012600438276113951,0.004565376186997808,0.041088385682980275,0.014243973703433162,50.0,0.0034696859021183346,0.0023739956172388606,0.0034696859021183346,0.004930606281957633,40.0,160.0,0.006391526661796932,0.0014609203798392988,0.0007304601899196494,,0.001643535427319211,0.0023739956172388606,0.001643535427319211,,0.0007304601899196494,0.0009130752373995618,0.0014609203798392988,0.002556610664718773,0.00310445580715851,,,,0.0009130752373995618,0.004930606281957633,0.006756756756756757,0.008948137326515705,,0.15138787436084733,0.05514974433893353,,0.000547845142439737,0.008765522279035792,,0.15357925493060628,0.15284879474068663,,0.1477355734112491,0.20927684441197955
GM0547,Leiderdorp,2015,27440,9570,0.483600583090379,0.5165816326530612,0.2286807580174927,0.19588192419825073,0.29919825072886297,0.21793002915451895,0.04901603498542274,0.7846209912536443,0.10440962099125364,0.11096938775510204,0.013848396501457727,0.018221574344023325,0.02295918367346939,0.006013119533527697,22785,0.008564139941690961,0.37190233236151604,0.011661807580174927,0.01348396501457726,0.008746355685131196,0.020590379008746357,0.2177478134110787,0.004555393586005831,0.011844023323615161,965.0,0.4978134110787172,0.0010932944606413995,0.008199708454810495,1655.0,0.01403061224489796,0.9826895043731778,0.6873177842565598,0.5728862973760933,0.03899416909620991,7035.0,0.22667638483965014,0.06322886297376093,0.036807580174927114,0.21137026239067055,0.11534256559766763,0.016763848396501458,0.024599125364431488,0.054300291545189505,0.019497084548104955,1135.0,0.013119533527696793,0.01348396501457726,0.004373177842565598,0.04446064139941691,0.014941690962099125,60.0,0.004008746355685131,0.0020043731778425656,0.0034620991253644317,0.00564868804664723,50.0,175.0,0.007106413994169096,0.0016399416909620992,0.0005466472303206997,,0.0020043731778425656,0.002551020408163265,0.0018221574344023323,0.0005466472303206997,0.0009110787172011661,0.0012755102040816326,0.0010932944606413995,0.002551020408163265,0.0032798833819241984,,,0.0005466472303206997,0.0014577259475218659,0.0052842565597667635,0.006924198250728863,0.008564139941690961,0.0007288629737609329,0.14923469387755103,0.05193148688046647,660.0,0.0005466472303206997,0.009839650145772596,,0.15615889212827988,0.15998542274052477,,0.15287900874635568,0.21519679300291544
GM0547,Leiderdorp,2016,27660,9580,0.4846348517715112,0.5153651482284888,0.22740419378163412,0.1970354302241504,0.2935647143890094,0.2198120028922632,0.05133767172812726,0.782176428054953,0.10574837310195227,0.1118944323933478,0.013557483731019523,0.018257411424439624,0.022957339117859726,0.006146059291395517,22870,0.009761388286334056,0.37364425162689807,0.009580621836587129,0.014099783080260303,0.009219088937093275,0.01970354302241504,0.21890817064352855,0.006146059291395517,0.013015184381778741,1005.0,0.4819233550253073,0.0007230657989877079,0.006507592190889371,1645.0,0.014099783080260303,0.9793926247288504,0.6816702819956616,0.5813449023861171,0.03976861894432393,7135.0,0.22595806218365871,0.06453362255965293,0.03705712219812003,0.21384671005061462,0.11876355748373102,0.017715112075198842,0.02512653651482285,0.0576644974692697,0.020426608821402747,1225.0,0.01428054953000723,0.014642082429501085,0.004880694143167028,0.04736080983369487,0.0160882140274765,80.0,0.0036153289949385392,0.0021691973969631237,0.0041576283441793205,0.006326825741142444,40.0,195.0,0.007592190889370932,0.0018076644974692696,,0.0005422993492407809,0.0021691973969631237,0.0030730296456977584,0.0010845986984815619,0.0009038322487346348,0.0016268980477223427,0.0019884309472161968,0.0009038322487346348,0.0025307302964569776,0.0032537960954446853,,,0.0005422993492407809,0.0009038322487346348,0.006326825741142444,0.006688358640636298,0.008676789587852495,,0.1890817064352856,0.07664497469269703,715.0,0.0005422993492407809,0.007592190889370932,,0.16395516992046277,0.16648590021691975,,0.15708604483007954,0.22650036153289949
GM0547,Leiderdorp,2017,27730,9560,0.4850342589253516,0.5147854309412189,0.2266498377208799,0.1992426974395961,0.29047962495492247,0.22322394518571945,0.05228993869455464,0.7803822574828705,0.10349801658853228,0.11611972592859719,0.0144248106743599,0.01821132347637937,0.02289938694554634,0.005950234403173459,22975,0.01153984853948792,0.3739632167327804,0.00847457627118644,0.015146051208077894,0.009556437071763433,0.02001442481067436,0.22250270465200145,0.00576992426974396,0.013883880274071402,995.0,0.4716913090515687,0.000721240533717995,0.006310854670032456,1735.0,0.014605120807789397,0.9787234042553191,0.6734583483591778,0.5856473133790119,0.04111071042192571,7160.0,0.22304363505228994,0.06473133790119005,0.03696357735304724,0.21150378651280202,0.12134871979805265,0.017490082942661377,0.025423728813559324,0.05463397042913812,0.02145690587811035,1190.0,0.013703570140641904,0.01568698160836639,0.005228993869455464,0.04507753335737468,0.01676884240894338,65.0,0.0032455824017309774,0.0025243418680129825,0.003606202668589975,0.006130544536602957,60.0,205.0,0.006851785070320952,0.001983411467724486,0.0005409304002884963,0.0005409304002884963,0.002163721601153985,0.0025243418680129825,0.00144248106743599,0.000721240533717995,0.001983411467724486,0.0023440317345834838,0.000721240533717995,0.001983411467724486,0.0030652722683014787,,,0.0005409304002884963,0.0010818608005769925,0.00721240533717995,0.007392715470609448,0.009556437071763433,0.000721240533717995,0.1851785070320952,0.04778218535881717,655.0,0.0005409304002884963,0.009015506671474938,,0.17057338622430582,0.17580238009376126,,0.16155787955283088,0.23909123692751533
GM0547,Leiderdorp,2018,27670,9520,0.4842790025298157,0.5157209974701843,0.2228044813877846,0.20184315142753886,0.28641127574990966,0.22768341163715214,0.052764727141308275,0.7795446331767257,0.10191543187567763,0.11853993494759668,0.014817491868449585,0.017708709794000722,0.02258764004336827,0.006143838091796169,22935,0.01084206722081677,0.3789302493675461,0.006505240332490061,0.014636790748102639,0.0093964582580412,0.020238525478857967,0.22298518250813154,0.0043368268883267076,0.011564871702204554,985.0,0.4539212143115287,0.0005421033610408384,0.005421033610408385,80.0,0.014275388507408745,0.9772316588362848,0.6774485001807011,0.5854716299241055,0.04300686664257319,7210.0,0.2228044813877846,0.06487170220455367,0.037224430791470905,0.21214311528731478,0.12179255511384171,0.017528008673653776,0.024575352367184677,0.054210336104083844,0.02059992771955186,1190.0,0.014275388507408745,0.015720997470184316,0.005059631369714492,0.044452475605348755,0.0164438019515721,65.0,0.0016263100831225153,0.0009035056017347307,0.0005421033610408384,0.0043368268883267076,40.0,145.0,0.004517528008673654,0.0005421033610408384,0.0007228044813877846,0.0005421033610408384,0.001264907842428623,0.0007228044813877846,0.0007228044813877846,0.0009035056017347307,0.0019877123238164077,0.0023491145645103,0.0009035056017347307,0.0021684134441633538,0.0032526201662450307,,,0.0005421033610408384,0.001264907842428623,0.007770148174918685,0.007408745934224793,0.009938561619082038,0.0005421033610408384,0.1624503071919046,0.04517528008673654,645.0,,0.009035056017347307,,0.1754607878568847,0.18377303939284423,,0.1660643295988435,0.24737983375496927
GM0547,Leiderdorp,2019,27510,9490,0.48455107233733186,0.5154489276626681,0.2197382769901854,0.20338058887677207,0.28153398764085785,0.23046165030897856,0.05507088331515812,0.777535441657579,0.09960014540167211,0.12286441294074882,0.014721919302071973,0.017448200654307525,0.023446019629225736,0.0058160668847691745,22770,0.009814612868047983,0.38349691021446747,0.0059978189749182115,0.013813158851326791,0.009814612868047983,0.020174482006543076,0.2222828062522719,0.004180298073427844,0.013449654671028717,915.0,0.4423845874227554,0.0005452562704471102,0.0052708106143220645,1885.0,0.014721919302071973,0.9796437659033079,0.6710287168302436,0.5885132679025808,0.040530716103235186,7180.0,0.22064703744093056,0.06143220647037441,0.03744093057070156,0.21155943293347873,0.12340966921119594,0.016175936023264267,0.025081788440567066,0.04925481643038895,0.020174482006543076,1105.0,0.011632133769538349,0.015812431842966195,0.0045438022537259174,0.04034896401308615,0.015812431842966195,80.0,0.0007270083605961468,0.0007270083605961468,,0.004180298073427844,50.0,150.0,0.004907306434023991,0.0005452562704471102,0.0007270083605961468,0.0007270083605961468,0.0009087604507451836,0.0007270083605961468,0.0005452562704471102,0.0007270083605961468,0.0018175209014903672,0.002544529262086514,0.0005452562704471102,0.0019992729916394037,0.0029080334423845873,,,,0.0009087604507451836,,,,,0.16666666666666666,0.059614685568884045,665.0,,0.009087604507451835,,0.17938931297709923,0.193020719738277,0.2173754998182479,0.16739367502726282,0.25863322428207924
GM0547,Leiderdorp,2020,27900,9700,0.48584229390681005,0.51415770609319,0.21666666666666667,0.210752688172043,0.27598566308243727,0.23136200716845878,0.056272401433691756,0.7695340501792115,0.1032258064516129,0.12706093189964157,0.015591397849462365,0.01756272401433692,0.025089605734767026,0.0064516129032258064,23020,0.00878136200716846,0.38387096774193546,0.007347670250896057,0.013799283154121864,0.011111111111111112,0.01989247311827957,0.22275985663082437,0.0035842293906810036,0.012724014336917562,885.0,0.4168458781362007,0.0005376344086021505,0.005197132616487455,1885.0,0.015591397849462365,0.9768817204301076,0.6408602150537634,0.5347670250896057,0.03853046594982079,7150.0,0.2025089605734767,0.052508960573476704,0.03799283154121864,0.20698924731182797,0.11917562724014337,0.015591397849462365,0.022939068100358423,0.04767025089605735,0.018458781362007168,1095.0,0.012007168458781362,0.014516129032258065,0.004480286738351254,0.03924731182795699,0.014695340501792114,50.0,0.0008960573476702509,0.0012544802867383513,0.0005376344086021505,0.003763440860215054,40.0,135.0,0.002688172043010753,0.0005376344086021505,0.0005376344086021505,,0.0007168458781362007,0.0008960573476702509,0.0005376344086021505,0.0005376344086021505,0.0016129032258064516,0.0023297491039426525,0.001075268817204301,0.0023297491039426525,0.0030465949820788533,,,,0.0008960573476702509,,,,,0.1431899641577061,0.04641577060931899,640.0,,0.01021505376344086,7510.0,0.18458781362007168,0.20232974910394266,0.21469534050179212,0.16845878136200718,0.27043010752688174
GM0547,Leiderdorp,2021,27980,9740,0.48463187991422446,0.5151894210150108,0.21354538956397426,0.21747676912080058,0.271265189421015,0.23177269478198714,0.057005003573981416,0.7632237312365976,0.10453895639742673,0.1322373123659757,0.016440314510364547,0.01661901358112938,0.02662616154395997,0.006611865618298785,23060,0.008577555396711936,0.38598999285203717,0.005718370264474625,0.014117226590421729,0.010900643316654753,0.01947819871336669,0.2248034310221587,0.0037526804860614723,0.013938527519656898,820.0,0.41047176554681913,,0.004824874910650465,1835.0,0.017155110793423873,,,,,7275.0,0.2087205146533238,0.05557541100786276,0.03967119370979271,0.2081844174410293,0.1222301644031451,0.015546819156540386,0.022694781987133667,0.05039313795568263,0.018942101501072194,1195.0,0.013759828448892066,0.015546819156540386,0.005003573981415297,0.04270907791279485,0.015725518227305217,,,,,,25.0,25.0,,,,,,,,,0.001072194424588992,0.001965689778413152,,0.0017869907076483202,0.0026804860614724805,,,,0.0007147962830593281,,,,,,,660.0,,0.009292351679771264,,0.1908506075768406,0.21104360257326663,0.21122230164403144,0.1713724088634739,0.28109363831308076
GM0547,Leiderdorp,2022,28170,9780,0.4849130280440185,0.5149094781682642,0.2124600638977636,0.2220447284345048,0.2660631877884274,0.232871849485268,0.05715299964501242,0.7547035853745119,0.11057862974795882,0.13471778487752928,0.01686190983315584,0.01615193468228612,0.026624068157614485,0.006567270145544906,23155,0.009229676961306355,0.38924387646432373,0.003549875754348598,0.013667021654242101,0.011892083777067802,0.019524316648917288,0.22009229676961306,0.004259850905218318,0.012602058927937523,740.0,0.42261270855520056,,0.004614838480653177,1750.0,0.01703940362087327,,,,,7350.0,0.2161874334398296,0.056975505857294995,0.04046858359957402,0.20749023784167553,0.12211572594959176,0.01437699680511182,0.022186723464678735,0.04969826056088037,0.019701810436634718,1235.0,0.012779552715654952,0.01703940362087327,0.005324813631522897,0.04384096556620518,0.01703940362087327,,,,,,35.0,35.0,,,,,,,,,0.0008874689385871495,0.001774937877174299,0.0007099751508697196,0.001774937877174299,0.0026624068157614484,,,,0.0007099751508697196,,,,,,,745.0,,0.007987220447284345,,0.192403265885694,0.21441249556265532,0.212637557685481,0.17429889953851616,0.28292509762158324
